CUE,Dominance,Group
0.46164184088140425,0,Community 1
0.4734541115319471,0,Community 1
0.4372635991062977,1,Community 1
0.4782631545020208,1,Community 1
0.4706180040995899,1,Community 1
0.4429140678491318,0,Community 1
0.4854686142581439,1,Community 1
0.45054879480977983,0,Community 1
0.4759476922396326,0,Community 1
0.45908278877148295,0,Community 1
0.47746702475725256,1,Community 1
0.43387770694293204,0,Community 1
0.4308545105553495,0,Community 1
0.4622524435065717,0,Community 1
0.47069132163095917,0,Community 1
0.41191838716541535,0,Community 1
0.44163224952722224,0,Community 1
0.4694558209611329,0,Community 1
0.48549679677278257,0,Community 1
0.4376423679658849,0,Community 1
0.4739285806167282,0,Community 1
0.46175578631677744,0,Community 1
0.4816435037314106,0,Community 1
0.44944361399591226,1,Community 1
0.495257871579937,1,Community 1
0.4759903525286915,0,Community 1
0.4679311041193283,0,Community 1
0.46427869719415055,0,Community 1
0.45413288096638943,0,Community 1
0.4596519972302858,0,Community 1
0.4640110393109466,1,Community 2
0.48628645962363304,1,Community 2
0.48692923704713764,0,Community 2
0.4713041020719633,0,Community 2
0.4622057463595734,0,Community 2
0.45737719308095043,1,Community 2
0.44226767830862257,0,Community 2
0.45577333635632955,1,Community 2
0.48373834191158976,1,Community 2
0.5011262276677901,1,Community 2
0.4677513064515863,0,Community 2
0.47984955976494803,1,Community 2
0.48558672043622736,1,Community 2
0.471477114481865,1,Community 2
0.47951761374541807,1,Community 2
0.4455125678979972,1,Community 2
0.44533411061674855,1,Community 2
0.5003355501613099,1,Community 2
0.4940611508464418,1,Community 2
0.4688620899718059,1,Community 2
0.47431557125424323,1,Community 2
0.49748639539507145,1,Community 2
0.44412114580008466,1,Community 2
0.43845431515918565,0,Community 2
0.4558345541007309,0,Community 2
0.4817942664904692,1,Community 2
0.4741691063586027,1,Community 2
0.49270523087430984,1,Community 2
0.4755415443448745,1,Community 2
0.47240602737483306,1,Community 2
