CUE,Dominance,Group
0.46159656264834886,1,Community 1
0.4754708779278299,1,Community 1
0.4378071591291986,1,Community 1
0.4790839419885865,1,Community 1
0.47060169670901436,1,Community 1
0.442728538126547,1,Community 1
0.48675518845265653,1,Community 1
0.45199000875860557,1,Community 1
0.4779997213726524,1,Community 1
0.4598871123299914,1,Community 1
0.4773372590074403,1,Community 1
0.435557153310252,0,Community 1
0.4300595214429424,1,Community 1
0.46363059929849093,1,Community 1
0.4698374923595433,1,Community 1
0.4165905336473158,1,Community 1
0.4408985296556738,1,Community 1
0.4704190461528867,1,Community 1
0.48576066755403663,1,Community 1
0.44291009728027525,0,Community 1
0.41369938911585435,0,Community 2
0.43641568882060655,0,Community 2
0.4364314545696942,0,Community 2
0.42152519092721463,0,Community 2
0.41219127267032396,0,Community 2
0.40759827014944605,0,Community 2
0.39266847473810934,0,Community 2
0.40512035403847674,0,Community 2
0.43405286667639775,0,Community 2
0.45055755548223586,0,Community 2
0.41740560056608833,0,Community 2
0.4301077372269404,1,Community 2
0.43551305844443655,0,Community 2
0.4216387705150943,0,Community 2
0.4297028903746706,0,Community 2
0.39607892879296147,0,Community 2
0.3951766931247897,0,Community 2
0.45046424812670904,0,Community 2
0.4434154206790419,0,Community 2
0.4188824719366895,1,Community 2
